id,cond,llm,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,s_novelty,s_transience,s_resonance,ntr_unit,n_units_total,n_units_used
conv_deb05265bec84343b09557454f80ce9a,LLM-LLM,2,0,,,,,,,,,,,528.0,34.0,4.763257575757576,15.529411764705882,0.5549242424242424,0.3996212121212121,90.9090909090909,68.81923796791446,0.0512189598782884,0.4874281167160481,-4.329039068783031,-1.239767930086921,-3.08927113869611,sentence,36,34
conv_df34362d313d4251be4aa9d372a74bc4,LLM-LLM,2,0,,,,,,,,,,,572.0,28.0,4.463286713286713,20.428571428571427,0.4877622377622377,0.3653846153846153,78.67132867132867,63.19335664335668,0.103148787334942,0.4850189532112382,-3.3289164821306865,-0.8992505470911661,-2.4296659350395204,sentence,32,30
conv_e55e23af1d4147fda2537d51eb56c93e,LLM-LLM,2,0,,,,,,,,,,,610.0,13.0,4.473770491803279,46.92307692307692,0.4245901639344262,0.2852459016393442,78.68852459016394,37.30086380832283,0.1776043482655241,0.5456921595398407,-1.7870247689160434,-0.3732157837260853,-1.413808985189958,sentence,13,11
conv_e8cf4a02ed5d42acb9cb032eeb8564d6,LLM-LLM,2,0,,,,,,,,,,,554.0,33.0,4.734657039711191,16.78787878787879,0.5595667870036101,0.4187725631768953,86.64259927797833,65.33862432994204,0.0558525352552126,0.6012618734412815,-3.4673570096492767,-0.7438304908573627,-2.723526518791914,sentence,34,32
conv_e9176cbc9fc84bf693d4722a41d4d02b,LLM-LLM,2,0,,,,,,,,,,,611.0,13.0,4.3502454991816695,47.0,0.4549918166939443,0.320785597381342,90.0163666121113,40.46846153846154,0.1935660548993256,0.5480736195484415,-1.5031942887739702,-0.3935234438289295,-1.1096708449450403,sentence,13,11
conv_e986348ecd0a4b4fa288f72d037bc63d,LLM-LLM,2,0,,,,,,,,,,,565.0,29.0,4.410619469026549,19.482758620689655,0.5132743362831859,0.3893805309734513,86.72566371681415,63.828495575221254,0.0587182270411942,0.5273736932199478,-3.460597094028227,-1.0462037517178444,-2.4143933423103823,sentence,33,31
conv_ebe60862bf804722a847681940c8bbcd,LLM-LLM,2,0,,,,,,,,,,,605.0,10.0,4.424793388429752,60.5,0.4578512396694215,0.3140495867768595,94.21487603305783,25.86882231404961,0.1708522563784722,0.4223113117710441,-1.783098503947258,-0.3473495244979858,-1.4357489794492722,sentence,10,8
conv_ec61d7cb57094812b5ed7b7b55c18b32,LLM-LLM,2,0,,,,,,,,,,,579.0,35.0,4.675302245250432,16.542857142857144,0.5371329879101899,0.3955094991364421,74.26597582037996,62.77871502590675,0.0383770765225545,0.6453855111385881,-3.957356160337275,-0.7258209640329535,-3.2315351963043213,sentence,35,33
conv_f125b048b3e64f3b981a17c9f76e2b23,LLM-LLM,2,0,,,,,,,,,,,597.0,9.0,4.613065326633166,66.33333333333333,0.4556113902847571,0.3199329983249581,92.12730318257957,14.519731993299873,0.2328475000214181,0.421543974921452,-1.720685533114842,-0.2901883636202131,-1.430497169494629,sentence,9,7
conv_f1319a0af50d430182271474fd637f22,LLM-LLM,2,0,,,,,,,,,,,595.0,6.0,4.473949579831933,99.16666666666669,0.4941176470588235,0.3663865546218487,100.84033613445378,-17.520007002801094,0.1879461907618993,0.4790536543440302,-1.6024523973464966,-0.3683851063251495,-1.234067291021347,sentence,6,4
